token,symbol,start,open,high,low,close,volume
1002,BETAEP,2026-08-19T09:34:00,208.0,209.5,206.0,208.5,10000
1002,BETAEP,2026-08-19T09:35:00,208.0,209.5,206.0,208.5,10000
1002,BETAEP,2026-08-19T09:36:00,208.0,209.5,206.0,208.5,10000
1002,BETAEP,2026-08-19T09:37:00,208.0,209.5,206.0,208.5,10000
1002,BETAEP,2026-08-19T09:38:00,208.0,209.5,206.0,208.5,10000
1002,BETAEP,2026-08-19T09:39:00,208.0,209.5,206.0,208.5,10000
1002,BETAEP,2026-08-19T09:40:00,208.0,209.5,206.0,208.5,10000
1002,BETAEP,2026-08-19T09:41:00,208.0,209.5,206.0,208.5,10000
1002,BETAEP,2026-08-19T09:42:00,208.0,209.5,206.0,208.5,10000
1002,BETAEP,2026-08-19T09:43:00,208.0,209.5,206.0,208.5,10000
1002,BETAEP,2026-08-19T09:44:00,208.0,209.5,206.0,208.5,10000
1002,BETAEP,2026-08-19T09:45:00,210.5,211.0,210.2,210.9,10000
1002,BETAEP,2026-08-19T09:46:00,210.9,212.0,210.8,211.8,10000
1003,GAMMALOCK,2026-08-19T09:15:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:16:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:17:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:18:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:19:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:20:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:21:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:22:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:23:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:24:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:25:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:26:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:27:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:28:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:29:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:30:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:31:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:32:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:33:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:34:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:35:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:36:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:37:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:38:00,52.5,52.5,52.5,52.5,10000
1003,GAMMALOCK,2026-08-19T09:39:00,52.5,52.5,52.5,52.5,10000
1004,DELTAWAIT,2026-08-19T09:15:00,296.0,298.0,295.0,297.0,10000
1004,DELTAWAIT,2026-08-19T09:16:00,297.0,297.8,295.5,296.5,10000
1004,DELTAWAIT,2026-08-19T09:17:00,296.5,297.5,296.0,297.2,10000
1004,DELTAWAIT,2026-08-19T09:18:00,297.2,297.9,296.8,297.5,10000
1004,DELTAWAIT,2026-08-19T09:19:00,297.5,297.9,297.0,297.6,10000
1004,DELTAWAIT,2026-08-19T09:20:00,297.5,297.9,296.5,297.4,10000
1004,DELTAWAIT,2026-08-19T09:21:00,297.5,297.9,296.5,297.4,10000
1004,DELTAWAIT,2026-08-19T09:22:00,297.5,297.9,296.5,297.4,10000
1004,DELTAWAIT,2026-08-19T09:23:00,297.5,297.9,296.5,297.4,10000
1004,DELTAWAIT,2026-08-19T09:24:00,297.5,297.9,296.5,297.4,10000
1004,DELTAWAIT,2026-08-19T09:25:00,297.5,297.9,296.5,297.4,10000
1004,DELTAWAIT,2026-08-19T09:26:00,297.5,297.9,296.5,297.4,10000
1004,DELTAWAIT,2026-08-19T09:27:00,297.5,297.9,296.5,297.4,10000
1004,DELTAWAIT,2026-08-19T09:28:00,297.5,297.9,296.5,297.4,10000
1004,DELTAWAIT,2026-08-19T09:29:00,297.5,297.9,296.5,297.4,10000
1004,DELTAWAIT,2026-08-19T09:30:00,297.5,297.9,296.5,297.4,10000
1004,DELTAWAIT,2026-08-19T09:31:00,297.5,297.9,296.5,297.4,10000
1004,DELTAWAIT,2026-08-19T09:32:00,297.5,297.9,296.5,297.4,10000
1004,DELTAWAIT,2026-08-19T09:33:00,297.5,297.9,296.5,297.4,10000
1004,DELTAWAIT,2026-08-19T09:34:00,297.5,297.9,296.5,297.4,10000
1004,DELTAWAIT,2026-08-19T09:35:00,298.6,299.0,298.4,298.9,10000
1004,DELTAWAIT,2026-08-19T09:36:00,298.9,299.5,298.7,299.2,10000
1004,DELTAWAIT,2026-08-19T09:37:00,299.2,299.8,299.0,299.5,10000
1005,EPSILONGAP,2026-08-19T09:15:00,92.0,94.0,90.0,93.0,20000
1005,EPSILONGAP,2026-08-19T09:16:00,93.0,93.5,89.0,90.0,20000
1005,EPSILONGAP,2026-08-19T09:17:00,90.0,91.0,88.0,89.0,20000
1005,EPSILONGAP,2026-08-19T09:18:00,89.0,92.0,88.5,91.5,20000
1005,EPSILONGAP,2026-08-19T09:19:00,91.5,93.8,91.0,93.5,20000
1005,EPSILONGAP,2026-08-19T09:20:00,93.5,93.9,92.8,93.2,20000
1005,EPSILONGAP,2026-08-19T09:25:00,93.2,93.9,92.5,93.6,20000
1005,EPSILONGAP,2026-08-19T09:30:00,93.6,93.95,93.0,93.8,20000
1005,EPSILONGAP,2026-08-19T09:37:00,93.8,94.0,93.4,93.9,20000
1005,EPSILONGAP,2026-08-19T09:38:00,93.9,94.6,93.9,94.5,20000
1005,EPSILONGAP,2026-08-19T09:40:00,94.5,94.8,94.0,94.6,20000
